asin,name,url
B0CZNQLQWZ,"Link Locks| Round 50mm Padlock with 3 Keys |Lock for Main Door, Gate, Shops, Off",https://www.amazon.in/dp/B0CZNQLQWZ
B07NHYLTY7,ZOUK Office Bag | Stylish Bags for Office Use | Laptop Bag 15.6 inch | Stylish T,https://www.amazon.in/dp/B07NHYLTY7
B0GYPJLFYY,eumqestoer Study Table Bed Table Premium Laptop Table/Foldable and Portable Wood,https://www.amazon.in/dp/B0GYPJLFYY
B0H4CZCKRT,"WONDWILD Smart Multipurpose Foldable Laptop Table with Cup Holder, Study Table, ",https://www.amazon.in/dp/B0H4CZCKRT
B0DSFHP4H2,Clazkit Water Bottle Stainless Steel Sports/Fridge Bottle with Leak Proof Lid | ,https://www.amazon.in/dp/B0DSFHP4H2
B09X37GMR4,INOVERA 50 Piece Cable Organizer Hook & Loop Tape - Wire/Cord Holder Management ,https://www.amazon.in/dp/B09X37GMR4
B0FVFBZ4YF,"EMBOX Extension Board 5 Meter Cable | Extension Board with Switches, 4 Universal",https://www.amazon.in/dp/B0FVFBZ4YF
B0756N9LQ7,"SPARTAN BS-02 8-in-1 Pc Screw Driver Kit With 3 Flat Blades, 3 Phillips Head, 1 ",https://www.amazon.in/dp/B0756N9LQ7
B09QGZFBPM,Wayona Type C to Type C 6FT/2M 65W Long Fast Charging Cable Compatible with iPho,https://www.amazon.in/dp/B09QGZFBPM
B083C6XMKQ,"ATOM ALISTON K1 Series Digital Kitchen Weighing Scale 10 kg, Electronic Weight M",https://www.amazon.in/dp/B083C6XMKQ
B0CQJP6BS7,"SANDISK Ultra Dual Drive Luxe Type-C 256GB, OTG, Upto 400MB/s, Pendrive, Gold, 5",https://www.amazon.in/dp/B0CQJP6BS7
B0B296NTFV,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical ",https://www.amazon.in/dp/B0B296NTFV
B0DFHJTBFX,"EUROWRAP Food Wrapping Paper 500g – Butter Paper Roll, Greaseproof & Microwave S",https://www.amazon.in/dp/B0DFHJTBFX
B0C85YQN63,Satpurush Self-Adhesive Soap Holder for Bathroom (Pack of 2) Wall Mounted No-Dri,https://www.amazon.in/dp/B0C85YQN63
B07ZKD8T1Q,Cuzor Mini UPS 12V Router UPS up to 2A | Up to 5 Hours Backup | WiFi UPS Power B,https://www.amazon.in/dp/B07ZKD8T1Q
B0BG62HMDJ,Cablet 2.5 Inch SATA USB 3.0 HDD/SSD Portable External Enclosure for 7mm and 9.5,https://www.amazon.in/dp/B0BG62HMDJ
B0BNJFB321,"Rushwak 3 in 1 Long Handle Bathroom Cleaning Brush with Wiper, 180° Rotate for F",https://www.amazon.in/dp/B0BNJFB321
B0CNW8YPK4,Ganesh Spark Gas Lighter for Kitchen Use Restaurants Metal Gas Stove Lighter Reg,https://www.amazon.in/dp/B0CNW8YPK4
B08LQRXXNB,Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organize,https://www.amazon.in/dp/B08LQRXXNB
B0FPRNQ21M,Automatic Water Dispenser Pump for 20 Litre Bottle | Big Battery - Portable USB ,https://www.amazon.in/dp/B0FPRNQ21M
B0C4PVS224,XIAOMI Mi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compat,https://www.amazon.in/dp/B0C4PVS224
B0C8VB73WC,Hipkoo Adjustable Washing Machine Stand with Wheels | Heavy Duty Steel Trolley f,https://www.amazon.in/dp/B0C8VB73WC
B0F6N4N24L,Humicure Moisture Absorber Dehumidifier | 500ml Absorption Capacity | Prevents M,https://www.amazon.in/dp/B0F6N4N24L
B01HJI0FS2,"Dell MS116 Wired Mouse, 1000 DPI, Scrolling Wheel, 2 Buttons, 1 x USB, Optical L",https://www.amazon.in/dp/B01HJI0FS2
B0FS22BCB5,"ShineXPro Microfiber Cleaning Cloth Roll, 20Pcs, 4000 Times Washable - 10X Cheap",https://www.amazon.in/dp/B0FS22BCB5
B0DGL27HYG,"KRISELL Sediment Filter FB-20-5M, Filter Bag 5 Micron for Filtering Sand, Dirt, ",https://www.amazon.in/dp/B0DGL27HYG
B097JJ2CK6,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel ",https://www.amazon.in/dp/B097JJ2CK6
B0CQRNWJM2,"ZEBRONICS Blanc Slim Wireless Mouse with Rechargeable Battery, BT + 2.4GHz, 4 Bu",https://www.amazon.in/dp/B0CQRNWJM2
B0FHLXFP91,"Hitanjal Foldable Wooden Mini Laptop Table for Bed, Study Table with Drawer, Mob",https://www.amazon.in/dp/B0FHLXFP91
B0CXDRZFSC,One Plus Fast 80W Original USB Type C Data Sync Fast Charging Charger Cable for ,https://www.amazon.in/dp/B0CXDRZFSC
